,o3,site,latitude,longitude
o3_sim_Evergreen_1_,46.910084,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,51.399742,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,32.30836,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,28.892574,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,36.95381,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,38.855633,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,38.093655,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,47.94818,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,36.043133,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,46.00805,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,44.47172,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,46.910084,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,51.399742,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,32.30836,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,28.892574,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,36.95381,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,38.855633,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,38.093655,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,47.94818,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,36.043133,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,46.00805,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,44.47172,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,46.910084,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,51.399742,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,32.30836,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,28.892574,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,36.95381,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,38.855633,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,38.093655,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,47.94818,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,36.043133,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,46.00805,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,44.47172,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,46.910084,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,51.399742,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,32.30836,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,28.892574,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,36.95381,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,38.855633,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,38.093655,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,47.94818,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,36.043133,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,46.00805,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,44.47172,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,46.910084,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,51.399742,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,32.30836,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,28.892574,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,36.95381,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,38.855633,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,38.093655,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,47.94818,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
