,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_24,44.567596,o3_sim_Evergreen_24,39.6203158,-105.33872,9.22e-05
o3_sim_Idaho Springs_24,48.06761,o3_sim_Idaho Springs_24,39.7924672,-105.49127,5.18e-05
o3_sim_Five Points_24,33.55961,o3_sim_Five Points_24,39.7511025,-104.987625,8.15e-05
o3_sim_Welby_24,33.64368,o3_sim_Welby_24,39.8380606,-104.94984,5.84e-05
o3_sim_Highlands Ranch_24,39.975697,o3_sim_Highlands Ranch_24,39.5678865,-104.957193,5e-07
o3_sim_Rocky Flats_24,44.663464,o3_sim_Rocky Flats_24,39.9127851,-105.188587,1.39e-05
o3_sim_Boulder_24,41.957077,o3_sim_Boulder_24,40.0699777,-105.220238,3.83e-05
o3_sim_Chatfield Reservoir_24,40.76587,o3_sim_Chatfield Reservoir_24,39.534445600000005,-105.070358,4.24e-05
o3_sim_Sunnyside_24,33.876625,o3_sim_Sunnyside_24,39.779405600000004,-105.00518,8.44e-05
o3_sim_East Plains_24,48.223843,o3_sim_East Plains_24,39.638471200000005,-104.569335,5.08e-05
o3_sim_Evergreen_24,44.567596,o3_sim_Evergreen_24,39.6203271,-105.33872,8.09e-05
o3_sim_Idaho Springs_24,48.06761,o3_sim_Idaho Springs_24,39.792454899999996,-105.49127,6.41e-05
o3_sim_Five Points_24,33.55961,o3_sim_Five Points_24,39.7511406,-104.987625,4.34e-05
o3_sim_Welby_24,33.64368,o3_sim_Welby_24,39.8381106,-104.94984,8.4e-06
o3_sim_Highlands Ranch_24,39.975697,o3_sim_Highlands Ranch_24,39.5678587,-104.957193,2.83e-05
o3_sim_Rocky Flats_24,44.663464,o3_sim_Rocky Flats_24,39.9127189,-105.188587,8.01e-05
o3_sim_Boulder_24,41.957077,o3_sim_Boulder_24,40.0699278,-105.220238,8.82e-05
o3_sim_Chatfield Reservoir_24,40.76587,o3_sim_Chatfield Reservoir_24,39.5344588,-105.070358,2.92e-05
o3_sim_Sunnyside_24,33.876625,o3_sim_Sunnyside_24,39.779471,-105.00518,1.9e-05
o3_sim_East Plains_24,48.223843,o3_sim_East Plains_24,39.6385078,-104.569335,1.42e-05
o3_sim_140,49.886925,o3_sim_140,40.2452011,-105.7200012,4.75e-05
o3_sim_1,43.506973,o3_sim_1,39.3174019,-104.3799973,5.1e-05
o3_sim_2,43.839317,o3_sim_2,39.3174019,-104.4830017,3.52e-05
o3_sim_3,44.279495,o3_sim_3,39.3174019,-104.5859985,9.62e-05
o3_sim_4,41.303482,o3_sim_4,39.3174019,-104.6900024,5.05e-05
o3_sim_5,41.57495,o3_sim_5,39.3174019,-104.7929993,1.36e-05
o3_sim_6,38.79556,o3_sim_6,39.3174019,-104.8960037,4.57e-05
o3_sim_7,43.03687,o3_sim_7,39.3174019,-104.9990005,9.86e-05
o3_sim_8,43.62521,o3_sim_8,39.3174019,-105.1019974,9.06e-05
o3_sim_9,38.537888,o3_sim_9,39.3174019,-105.2050018,7.94e-05
o3_sim_10,48.87707,o3_sim_10,39.3174019,-105.3079987,6.24e-05
o3_sim_11,46.341805,o3_sim_11,39.3174019,-105.4110031,5.52e-05
o3_sim_12,46.41871,o3_sim_12,39.3174019,-105.5139999,3.41e-05
o3_sim_13,50.756454,o3_sim_13,39.3174019,-105.6169968,6.04e-05
o3_sim_14,48.781914,o3_sim_14,39.3174019,-105.7200012,8.1e-06
o3_sim_15,40.568436,o3_sim_15,39.4205017,-104.3799973,1.08e-05
o3_sim_16,45.00987,o3_sim_16,39.4205017,-104.4830017,2.7e-06
o3_sim_17,45.30231,o3_sim_17,39.4205017,-104.5859985,5.55e-05
o3_sim_18,42.696217,o3_sim_18,39.4205017,-104.6900024,3.13e-05
o3_sim_19,42.743477,o3_sim_19,39.4205017,-104.7929993,3.26e-05
o3_sim_20,44.66728,o3_sim_20,39.4205017,-104.8960037,4.6e-06
o3_sim_21,37.340805,o3_sim_21,39.4205017,-104.9990005,4.02e-05
o3_sim_22,43.576042,o3_sim_22,39.4205017,-105.1019974,1.63e-05
o3_sim_23,41.000454,o3_sim_23,39.4205017,-105.2050018,3.88e-05
o3_sim_24,46.32306,o3_sim_24,39.4205017,-105.3079987,6.7e-06
o3_sim_25,42.062317,o3_sim_25,39.4205017,-105.4110031,4.78e-05
o3_sim_26,47.66344,o3_sim_26,39.4205017,-105.5139999,4.19e-05
o3_sim_27,46.392067,o3_sim_27,39.4205017,-105.6169968,3.56e-05
o3_sim_28,41.759956,o3_sim_28,39.4205017,-105.7200012,9.01e-05
o3_sim_29,44.305992,o3_sim_29,39.5236015,-104.3799973,5.43e-05
o3_sim_30,45.2753,o3_sim_30,39.5236015,-104.4830017,1.74e-05
o3_sim_31,41.711536,o3_sim_31,39.5236015,-104.5859985,2.1e-06
o3_sim_32,42.99527,o3_sim_32,39.5236015,-104.6900024,6.58e-05
o3_sim_33,36.997097,o3_sim_33,39.5236015,-104.7929993,8.63e-05
o3_sim_34,42.526985,o3_sim_34,39.5236015,-104.8960037,2.12e-05
o3_sim_35,39.566345,o3_sim_35,39.5236015,-104.9990005,5.35e-05
o3_sim_36,36.828987,o3_sim_36,39.5236015,-105.1019974,3.25e-05
o3_sim_37,45.44126,o3_sim_37,39.5236015,-105.2050018,6.91e-05
o3_sim_38,46.1057,o3_sim_38,39.5236015,-105.3079987,5.65e-05
o3_sim_39,44.05879,o3_sim_39,39.5236015,-105.4110031,3e-07
o3_sim_40,40.338253,o3_sim_40,39.5236015,-105.5139999,4.56e-05
o3_sim_41,45.446533,o3_sim_41,39.5236015,-105.6169968,4.45e-05
o3_sim_42,43.703594,o3_sim_42,39.5236015,-105.7200012,6.14e-05
o3_sim_43,45.254017,o3_sim_43,39.6265984,-104.3799973,5.32e-05
o3_sim_44,46.913784,o3_sim_44,39.6265984,-104.4830017,9.13e-05
o3_sim_45,46.29502,o3_sim_45,39.6265984,-104.5859985,2.75e-05
o3_sim_46,42.91031,o3_sim_46,39.6265984,-104.6900024,6.02e-05
o3_sim_47,39.00802,o3_sim_47,39.6265984,-104.7929993,4.44e-05
o3_sim_48,37.00535,o3_sim_48,39.6265984,-104.8960037,8.8e-05
o3_sim_49,30.56844,o3_sim_49,39.6265984,-104.9990005,1.18e-05
o3_sim_50,40.329426,o3_sim_50,39.6265984,-105.1019974,3.44e-05
o3_sim_51,48.845753,o3_sim_51,39.6265984,-105.2050018,6.53e-05
o3_sim_52,43.873455,o3_sim_52,39.6265984,-105.3079987,5.38e-05
o3_sim_53,46.668972,o3_sim_53,39.6265984,-105.4110031,9.99e-05
o3_sim_54,36.431297,o3_sim_54,39.6265984,-105.5139999,1.49e-05
o3_sim_55,43.874023,o3_sim_55,39.6265984,-105.6169968,1.52e-05
o3_sim_56,43.393776,o3_sim_56,39.6265984,-105.7200012,8.37e-05
o3_sim_57,44.463326,o3_sim_57,39.7296982,-104.3799973,6.03e-05
o3_sim_58,41.294254,o3_sim_58,39.7296982,-104.4830017,8.4e-05
o3_sim_59,37.239197,o3_sim_59,39.7296982,-104.5859985,2.26e-05
o3_sim_60,32.13851,o3_sim_60,39.7296982,-104.6900024,8.48e-05
o3_sim_61,29.485,o3_sim_61,39.7296982,-104.7929993,7.39e-05
o3_sim_62,32.4674,o3_sim_62,39.7296982,-104.8960037,3.51e-05
o3_sim_63,30.078445,o3_sim_63,39.7296982,-104.9990005,7.4e-05
o3_sim_64,37.75898,o3_sim_64,39.7296982,-105.1019974,9.52e-05
o3_sim_65,46.385315,o3_sim_65,39.7296982,-105.2050018,7.1e-06
o3_sim_66,39.905605,o3_sim_66,39.7296982,-105.3079987,9.5e-05
o3_sim_67,42.750637,o3_sim_67,39.7296982,-105.4110031,6.06e-05
o3_sim_68,41.93116,o3_sim_68,39.7296982,-105.5139999,6.31e-05
o3_sim_69,40.4985,o3_sim_69,39.7296982,-105.6169968,3.79e-05
o3_sim_70,44.56971,o3_sim_70,39.7296982,-105.7200012,4.9e-06
o3_sim_71,42.96013,o3_sim_71,39.8328018,-104.3799973,4.1e-06
o3_sim_72,43.434196,o3_sim_72,39.8328018,-104.4830017,5.9e-06
o3_sim_73,38.93301,o3_sim_73,39.8328018,-104.5859985,6.23e-05
o3_sim_74,31.946806,o3_sim_74,39.8328018,-104.6900024,1.8e-05
o3_sim_75,34.46372,o3_sim_75,39.8328018,-104.7929993,8.78e-05
o3_sim_76,27.915903,o3_sim_76,39.8328018,-104.8960037,8.27e-05
o3_sim_77,30.269573,o3_sim_77,39.8328018,-104.9990005,9.24e-05
o3_sim_78,39.567722,o3_sim_78,39.8328018,-105.1019974,9.87e-05
o3_sim_79,45.77112,o3_sim_79,39.8328018,-105.2050018,1.61e-05
o3_sim_80,46.217323,o3_sim_80,39.8328018,-105.3079987,5.49e-05
o3_sim_81,42.800762,o3_sim_81,39.8328018,-105.4110031,6.88e-05
o3_sim_82,44.589928,o3_sim_82,39.8328018,-105.5139999,5.7e-05
o3_sim_83,40.78508,o3_sim_83,39.8328018,-105.6169968,5.86e-05
o3_sim_84,48.254143,o3_sim_84,39.8328018,-105.7200012,7.36e-05
o3_sim_85,40.933018,o3_sim_85,39.9359016,-104.3799973,5.2e-05
o3_sim_86,41.34282,o3_sim_86,39.9359016,-104.4830017,8.9e-05
o3_sim_87,39.86442,o3_sim_87,39.9359016,-104.5859985,3.21e-05
o3_sim_88,34.308784,o3_sim_88,39.9359016,-104.6900024,2.87e-05
o3_sim_89,33.24746,o3_sim_89,39.9359016,-104.7929993,6.54e-05
o3_sim_90,34.48246,o3_sim_90,39.9359016,-104.8960037,8.35e-05
o3_sim_91,34.7083,o3_sim_91,39.9359016,-104.9990005,1.06e-05
o3_sim_92,37.06825,o3_sim_92,39.9359016,-105.1019974,8.89e-05
o3_sim_93,45.433086,o3_sim_93,39.9359016,-105.2050018,8.13e-05
o3_sim_94,43.85263,o3_sim_94,39.9359016,-105.3079987,6.79e-05
o3_sim_95,44.770313,o3_sim_95,39.9359016,-105.4110031,6.29e-05
o3_sim_96,41.21562,o3_sim_96,39.9359016,-105.5139999,3.2e-05
o3_sim_97,41.463245,o3_sim_97,39.9359016,-105.6169968,5.97e-05
o3_sim_98,46.899498,o3_sim_98,39.9359016,-105.7200012,7.77e-05
o3_sim_99,41.737167,o3_sim_99,40.0390015,-104.3799973,8.18e-05
o3_sim_100,42.553593,o3_sim_100,40.0390015,-104.4830017,4.9e-05
